Date,AMT,ANSS,BRK_A,BAM,KMX,CLNY,CSGP,DHR,DSGX,DLTR,MCO,ORLY,LAMR,MKL,MA
2009-02-13,24.690736322588762,25.23,88140.0,5.537727438099281,8.88,,29.55,20.392805702022116,2.7,11.226666666667,20.322342468183802,28.61,6.289195677989466,308.94,15.340210633088578
2009-02-17,23.304289430297814,24.67,84000.0,5.065080637650043,8.81,,28.65,19.53918701708469,2.68,11.393333333333,19.49650785594508,27.26,5.714010513696807,294.02,14.694955324803628
2009-02-18,23.04754000579949,24.27,80000.0,5.114461646652202,9.05,,28.75,19.49216564884661,2.58,11.313333333333,19.070819911492134,27.74,5.797260998002324,295.06,15.069222353838216
2009-02-19,22.46557464360329,24.0,78600.0,5.047444563006414,8.63,,27.98,19.24259069435219,2.4,11.456666666667,18.874125356351183,32.84,5.305326318015181,286.82,14.64378970564447
2009-02-20,22.765115638851334,24.22,77000.0,4.892247106142485,8.73,,25.95,18.96769654157573,2.26,11.726666666667,16.38551163695916,32.71,5.032870187560764,287.28,14.97162867284945
2009-02-23,21.986309051206423,23.2,75600.0,4.705304714920026,8.68,,25.44,18.56620639738906,2.336,11.596666666667,15.299415615093912,31.73,4.737709379568479,271.26,14.457129946860132
2009-02-24,23.321406058597702,23.58,79900.0,5.001590768932981,9.86,,26.38,19.021951966465824,2.3401,12.02,15.821083783076432,33.3,5.032870187560764,284.71,15.280517410736225
2009-02-25,22.953398550150105,23.15,79995.0,4.842866097140327,9.78,,26.16,18.783228096949422,2.35,12.093333333333,15.453350484334656,33.25,4.586344862649358,285.01,15.40369390130457
2009-02-26,24.647944751839038,20.69,78350.0,4.938100900215919,9.56,,25.53,18.609610737301132,2.35,12.353333333333,15.40203886125441,32.84,4.836096315565906,279.08,14.752753524224158
2009-02-27,24.92181080463725,20.17,78600.0,4.722940789563654,9.43,,25.5,18.360035782806715,2.33,12.94,15.350727238174159,33.36,5.237212285401577,265.81,14.973523695781271
2009-03-02,23.84346322174429,19.21,75750.0,4.327892717546381,8.68,,25.0,17.66918337253956,2.18,13.076666666667,14.144904095788334,32.23,4.8890738964875995,254.3,14.27236521100761
2009-03-03,23.406989200097144,18.88,75000.0,4.250293989114416,8.83,,24.95,17.98024780857608,2.15,12.72,13.802826608586683,32.44,4.63932244357105,247.56,14.308370646712204
2009-03-04,24.14300421699234,19.17,75025.0,4.356110436976186,9.47,,25.89,18.797696210253445,2.19,13.006666666667,14.350150588109328,32.49,4.836096315565906,251.59,14.258152539018955
2009-03-05,23.406989200097144,18.33,72400.0,4.123314251680292,8.94,,24.99,17.976630780250073,2.12,13.366666666667,13.990969226547591,32.51,4.389570990654501,227.85,13.92083845715487
2009-03-06,23.347081001047535,18.41,73195.0,4.105678177036665,8.68,,25.32,17.835566675535837,2.12,13.193333333333,13.717307236786269,32.14,4.2306382478894236,225.21,13.496353320427033
2009-03-09,22.996190120899826,18.06,73195.0,4.073933242678134,8.97,,24.23,17.372587049807063,2.2,13.333333333333,13.79427467140664,31.78,4.1171148602000835,211.0,13.496353320427033
2009-03-10,24.29705387169133,19.6,84844.0,4.2855661384016726,10.66,,25.66,18.486631774216928,2.1301,13.753333333333,15.42769467279453,33.75,4.699868250338699,235.15,14.068650245836885
2009-03-11,25.075860459336244,20.97,83700.0,4.40196423104962,10.8,,25.94,18.851951635143536,2.37,13.63,15.290863677913869,34.02,5.017733735868852,223.7,14.008009512018624
2009-03-12,25.555126051733115,21.53,85700.0,4.765267368708362,10.89,,26.5,19.68386815012493,2.45,13.76,15.54742179331511,35.28,5.524804867547906,234.0,14.882562595053876
2009-03-13,25.02451057443658,21.98,83550.0,4.856974956855229,11.34,,26.32,19.57174027201874,2.54,13.736666666667,15.615837290755442,34.9,5.562645996777686,238.47,15.00005401682676
2009-03-16,24.853344291437697,22.35,81690.0,4.86402938671268,11.15,,25.95,19.5464210737367,2.6,13.366666666667,15.47900629587478,33.52,5.085847768482456,236.88,14.562303719576178
2009-03-17,25.846108732831215,22.54,82200.0,4.987481909218078,11.81,,26.44,19.987698529509437,2.64,13.856666666667,16.128953521557918,35.0,5.411281479858566,246.78,15.385691183452273
2009-03-18,26.53077386482674,24.33,83350.0,5.1285705063671045,12.18,,28.26,20.25174159730788,2.7,13.886666666667,16.830212370321306,35.0,5.456690834934302,248.45,15.13649566791785
2009-03-19,26.38528252427769,24.35,85000.0,4.804066732924344,11.49,,28.22,19.795996028231116,2.69,13.873333333333,16.299992265158746,35.63,6.637334066903443,234.05,14.601151689678503
